Datetime,RecNbr,batt_volt_Min,PTemp,Flow_Avg,VWC_Avg,EC_Avg,T_Avg,VaporPress_Avg,AirTemp_Avg,RH_Avg,AtmPress_Avg,DrumTemp_Avg,DiffPress_Avg,Rain_Tot,Activity,radon,radon error,noise,status,reloc,external input,reserved,temperature,pressure,humidity,gamma dose rate_qa,voltage,reserveqa1,reserveqa2
07/07/2021 9:30,4560,12.04,19.23,0.978,0.02,0,19.71,1.722,19.5,76.07,1015,19.05,2.682,0,0,151,54.75,0,8,65,6,0,19.75,1013.916992,67,0,0,0,0
07/07/2021 9:40,4561,12.02,19.42,0.953,0.025,0,19.84,1.728,19.57,75.9,1015,19.43,1.793,0,0,3840,302,0,8,4,6,0,20.375,1013.866943,71.5,0,0,0,0
07/07/2021 9:50,4562,12.03,19.68,0.934,0.025,0,19.9,1.726,19.7,75.19,1015,19.65,1.618,0,0,7264,512,0,8,0,6,0,21.5,1014.156616,71.5,0,0,0,0
07/07/2021 10:00,4563,12.04,19.94,0.932,0.025,0,19.88,1.714,19.7,74.53,1015,19.68,1.226,0,0,6624,488,0,8,0,6,0,22.375,1014.434082,70.5,0,0,0,0
07/07/2021 10:10,4564,12.04,20.18,0.934,0.025,0,19.85,1.711,19.75,74.33,1015,19.69,1.491,0,0,5568,436,0,8,0,6,0,22.75,1014.474731,69.5,0,0,0,0
07/07/2021 10:20,4565,12.04,20.4,0.93,0.025,0,19.84,1.709,19.8,74.21,1015,19.68,0.54,0,0,4704,408,32,8,0,6,0,23,1014.459045,68.5,0,0,0,0
07/07/2021 10:30,4566,12.03,20.61,0.93,0.025,0,19.81,1.706,19.8,74.07,1015,19.68,0.724,0,0,4480,396,32,8,0,6,0,23.125,1014.45752,67.5,0,0,0,0
07/07/2021 10:40,4567,12.03,20.77,0.931,0.025,0,19.8,1.703,19.8,73.93,1015,19.67,0.977,0,0,3600,354,32,8,0,6,0,23.25,1014.620483,66,0,0,0,0
07/07/2021 10:50,4568,12.02,20.91,0.93,0.025,0,19.78,1.701,19.8,73.78,1016,19.66,1.06,0,0,3184,330,32,8,0,6,0,23.375,1015.05072,65,0,0,0,0
07/07/2021 11:00,4569,12.04,21.02,0.93,0.025,0,19.76,1.704,19.85,73.57,1016,19.65,0.891,0,0,2496,276,0,8,0,6,0,23.5,1015.109741,64.5,0,0,0,0
07/07/2021 11:10,4570,12.03,21.12,0.929,0.025,0,19.76,1.705,19.9,73.42,1016,19.64,1.017,0,0,2272,266,0,8,0,6,0,23.5,1015.200989,64,0,0,0,0
07/07/2021 11:20,4571,12.03,21.21,0.929,0.025,0,19.75,1.708,19.9,73.38,1016,19.63,0.541,0,0,2400,280,0,8,0,6,0,23.625,1015.171631,63.5,0,0,0,0
07/07/2021 11:30,4572,12.04,21.29,0.929,0.025,0,19.73,1.707,20,73.21,1016,19.61,1.256,0,0,1688,228,0,8,0,6,0,23.625,1015.267395,63.5,0,0,0,0
07/07/2021 11:40,4573,12.03,21.34,0.929,0.025,0,19.72,1.707,20,73.09,1016,19.61,1.193,0,0,1360,212,0,8,0,6,0,23.625,1015.262451,62.75,0,0,0,0
07/07/2021 11:50,4574,12.04,21.4,0.928,0.025,0,19.72,1.707,20,73,1016,19.6,0.126,0,0,1456,215,0,8,0,6,0,23.625,1015.389648,62.75,0,0,0,0
07/07/2021 12:00,4575,12.04,21.42,0.927,0.025,0,19.71,1.708,20,73,1016,19.62,1.486,0,1,1344,206,0,8,0,6,0,23.75,1015.315918,62.75,0,0,0,0
07/07/2021 12:10,4576,12.04,21.48,0.928,0.025,0,19.76,1.709,20,72.96,1016,19.79,1.233,0,1,1920,243,0,8,0,6,0,23.625,1015.376343,62.5,0,0,0,0
07/07/2021 12:20,4577,12.04,21.51,0.927,0.025,0,19.91,1.71,20.07,72.95,1016,20.06,1.316,0,1,8032,592,0,8,0,6,0,23.625,1015.283264,62.25,0,0,0,0
07/07/2021 12:30,4578,12.03,21.51,0.928,0.025,0,20.03,1.711,20.1,72.92,1016,20.22,0.903,0,1,16896,1024,0,8,0,6,0,23.625,1015.344238,62.25,0,0,0,0
07/07/2021 12:40,4579,12.04,21.53,0.924,0.025,0,20.13,1.711,20.1,72.9,1016,20.32,1.138,0,1,24192,1376,0,8,0,6,0,23.625,1015.424438,62.25,0,0,0,0
07/07/2021 12:50,4580,12.04,21.56,0.925,0.025,0,20.21,1.711,20.1,72.86,1016,20.41,1.137,0,1,30592,1640,0,8,0,6,0,23.625,1015.423096,62.25,0,0,0,0
07/07/2021 13:00,4581,12.03,21.56,0.924,0.025,0,20.27,1.71,20.1,72.8,1016,20.47,0.448,0,1,36352,1688,0,8,0,6,0,23.625,1015.524963,62.25,0,0,0,0
07/07/2021 13:10,4582,12.04,21.59,0.924,0.025,0,20.21,1.71,20.1,72.8,1016,20.27,0.941,0,0,32768,1720,0,8,0,6,0,23.625,1015.585876,62.25,0,0,0,0
07/07/2021 13:20,4583,12.04,21.59,0.924,0.025,0,20.02,1.71,20.1,72.78,1017,19.97,0.965,0,0,12096,1104,0,8,0,6,0,23.625,1015.656738,62.25,0,0,0,0
07/07/2021 13:30,4584,12.03,21.62,0.926,0.025,0,19.9,1.708,20.1,72.63,1017,19.83,0.841,0,0,3680,652,0,8,0,6,0,23.625,1015.628174,62,0,0,0,0
07/07/2021 13:40,4585,12.04,21.62,0.924,0.025,0,19.83,1.707,20.1,72.55,1017,19.78,1.012,0,0,1816,500,0,8,0,6,0,23.5,1015.659668,61.75,0,0,0,0
07/07/2021 13:50,4586,12.03,21.62,0.925,0.025,0,19.79,1.705,20.1,72.47,1017,19.74,0.758,0,0,2320,500,0,8,0,6,0,23.5,1015.64978,61.75,0,0,0,0
07/07/2021 14:00,4587,12.04,21.62,0.924,0.025,0,19.77,1.705,20.1,72.46,1017,19.72,0.882,0,0,1688,420,0,8,0,6,0,23.5,1015.67157,62,0,0,0,0
07/07/2021 14:10,4588,12.04,21.62,0.923,0.025,0,19.76,1.705,20.1,72.42,1017,19.71,1.307,0,0,1584,378,0,8,0,6,0,23.5,1015.734131,62,0,0,0,0
07/07/2021 14:20,4589,12.04,21.62,0.923,0.025,0,19.75,1.706,20.1,72.46,1017,19.71,0.451,0,0,1000,334,0,8,0,6,0,23.5,1015.774597,62,0,0,0,0
07/07/2021 14:30,4590,12.04,21.62,0.924,0.025,0,19.75,1.708,20.1,72.5,1017,19.71,1.1,0,0,1000,306,0,8,0,6,0,23.5,1016.009583,62.25,0,0,0,0
07/07/2021 14:40,4591,12.04,21.62,0.924,0.025,0,19.75,1.708,20.1,72.5,1017,19.7,1.166,0,0,640,262,0,8,0,6,0,23.5,1016.111633,62.25,0,0,0,0
07/07/2021 14:50,4592,12.04,21.62,0.925,0.025,0,19.74,1.707,20.1,72.48,1017,19.7,1.624,0,0,672,253,0,8,0,6,0,23.5,1016.071594,62.25,0,0,0,0
07/07/2021 15:00,4593,12.04,21.62,0.925,0.025,0,19.74,1.704,20.1,72.34,1017,19.7,1.752,0,1,420,218,0,8,0,6,0,23.375,1016.175476,62.25,0,0,0,0
07/07/2021 15:10,4594,12.04,21.62,0.925,0.025,0,19.79,1.703,20.1,72.35,1017,19.85,0.706,0,1,796,223,0,8,0,6,0,23.375,1016.197083,62.25,0,0,0,0
07/07/2021 15:20,4595,12.04,21.62,0.926,0.025,0,19.92,1.701,20.1,72.27,1017,20.1,0.707,0,1,4544,454,0,8,0,6,0,23.375,1016.177551,62.25,0,0,0,0
07/07/2021 15:30,4596,12.04,21.62,0.925,0.025,0,20.05,1.702,20.1,72.3,1017,20.25,1.144,0,1,10112,740,0,8,0,6,0,23.375,1016.189453,62.25,0,0,0,0
07/07/2021 15:40,4597,12.04,21.62,0.925,0.025,0,20.14,1.704,20.1,72.34,1017,20.35,0.319,0,1,15872,1032,0,8,0,6,0,23.375,1016.190125,62.25,0,0,0,0
07/07/2021 15:50,4598,12.04,21.62,0.926,0.025,0,20.22,1.706,20.1,72.41,1017,20.45,1.366,0,1,21888,1336,0,8,0,6,0,23.375,1016.190796,62.25,0,0,0,0
07/07/2021 16:00,4599,12.04,21.62,0.926,0.025,0,20.28,1.705,20.1,72.4,1017,20.5,0.189,0,1,25472,1480,0,8,0,6,0,23.375,1016.252869,62.25,0,0,0,0
07/07/2021 16:10,4600,12.04,21.62,0.926,0.025,0,20.23,1.707,20.1,72.5,1017,20.3,0.532,0,0,24576,1480,0,8,0,6,0,23.25,1016.385071,62.75,0,0,0,0
07/07/2021 16:20,4601,12.03,21.64,0.925,0.025,0,20.03,1.708,20.1,72.5,1017,20.01,-0.131,0,0,9280,888,0,8,0,6,0,23.375,1016.364441,62.75,0,0,0,0
07/07/2021 16:30,4602,12.04,21.64,0.927,0.025,0,19.92,1.706,20.1,72.42,1017,19.87,1.095,0,0,2928,524,0,8,0,6,0,23.25,1016.416992,62.75,0,0,0,0
07/07/2021 16:40,4603,12.04,21.64,0.925,0.025,0,19.85,1.706,20.1,72.41,1017,19.8,1.511,0,0,1664,414,0,8,0,6,0,23.25,1016.519348,63,0,0,0,0
07/07/2021 16:50,4604,12.03,21.62,0.925,0.025,0,19.82,1.705,20.1,72.35,1017,19.78,1.136,0,0,1008,350,0,8,0,6,0,23.25,1016.55011,62.75,0,0,0,0
07/07/2021 17:00,4605,12.04,21.64,0.924,0.025,0,19.79,1.705,20.1,72.34,1017,19.75,1.423,0,0,1128,328,0,8,0,6,0,23.25,1016.58136,62.75,0,0,0,0
07/07/2021 17:10,4606,12.04,21.62,0.924,0.025,0,19.78,1.707,20.1,72.45,1017,19.73,1.179,0,0,904,294,0,8,0,6,0,23.25,1016.553528,62.75,0,0,0,0
07/07/2021 17:20,4607,12.04,21.62,0.924,0.025,0,19.76,1.704,20.1,72.33,1017,19.72,0.302,0,0,796,272,0,8,0,6,0,23.25,1016.603638,63,0,0,0,0
07/07/2021 17:30,4608,12.04,21.62,0.924,0.025,0,19.75,1.701,20.1,72.2,1017,19.73,0.259,0,0,804,251,0,8,0,6,0,23.25,1016.676514,62.75,0,0,0,0
07/07/2021 17:40,4609,12.04,21.62,0.925,0.025,0,19.75,1.702,20.1,72.26,1017,19.72,0.971,0,0,544,221,0,8,0,6,0,23.125,1016.738159,63,0,0,0,0
07/07/2021 17:50,4610,12.04,21.62,0.925,0.025,0,19.74,1.701,20.1,72.23,1018,19.71,1.035,0,0,352,198,0,8,0,6,0,23.125,1016.759277,62.75,0,0,0,0
07/07/2021 18:00,4611,12.04,21.62,0.924,0.025,0,19.74,1.702,20.1,72.27,1018,19.71,0.627,0,1,316,187,0,8,0,6,0,23.125,1016.861572,63,0,0,0,0
07/07/2021 18:10,4612,12.04,21.62,0.924,0.025,0,19.79,1.703,20.1,72.34,1018,19.85,0.545,0,1,760,195,4,8,0,6,0,23.125,1017.004822,63,0,0,0,0
07/07/2021 18:20,4613,12.04,21.62,0.923,0.025,0,19.93,1.702,20.1,72.3,1018,20.11,0.354,0,1,4576,430,0,8,0,6,0,23.125,1017.105591,63,0,0,0,0
07/07/2021 18:30,4614,12.04,21.62,0.924,0.025,0,20.05,1.702,20.1,72.3,1018,20.26,0.273,0,1,9792,704,0,8,0,6,0,23.125,1017.076721,63,0,0,0,0
