Datetime,DiffPress_Slope,DiffPress_Diff
07/07/2021 12:00,-0.75,-1.038
07/07/2021 15:00,-0.81,-1.563
07/07/2021 18:00,0.51,0.3
07/07/2021 21:00,-1.08,-1.318
08/07/2021 00:00,-0.95,-0.59
08/07/2021 03:00,0.12,0.338
08/07/2021 06:00,-0.44,-0.481
08/07/2021 09:00,-1.22,-1.633
08/07/2021 12:00,0.5,-0.139
08/07/2021 15:00,0.13,-1.026
08/07/2021 18:00,0.42,0.819
08/07/2021 21:00,-0.4,-0.862
09/07/2021 00:00,-0.32,-1.28
09/07/2021 03:00,-0.7,-0.657
09/07/2021 06:00,0.54,-0.266
09/07/2021 09:00,-0.01,0.254
09/07/2021 12:00,0.29,0.895
09/07/2021 15:00,-0.01,-0.492
09/07/2021 18:00,0.01,-0.044
09/07/2021 21:00,-1.21,-0.847
10/07/2021 00:00,-0.73,-0.673
10/07/2021 03:00,-0.91,-1.159
10/07/2021 06:00,0.48,0.767
10/07/2021 09:00,-0.17,0.023
10/07/2021 12:00,0.86,1.375
10/07/2021 15:00,-0.43,0.04
10/07/2021 18:00,-1.0,-0.697
10/07/2021 21:00,0.32,0.272
11/07/2021 00:00,-0.31,-0.39
11/07/2021 03:00,-0.54,-0.57
11/07/2021 06:00,-0.35,-0.717
11/07/2021 09:00,0.1,-0.287
11/07/2021 12:00,-0.05,-0.115
11/07/2021 15:00,-0.78,-0.386
11/07/2021 18:00,-0.79,-1.48
11/07/2021 21:00,0.1,0.392
12/07/2021 00:00,-0.05,-0.491
12/07/2021 03:00,-1.01,-0.83
12/07/2021 06:00,-0.43,-0.745
