Comment:
Exhalation Bed 

Data exported from "DM351_6_29_2021 15-27 ... 7_1_2021  9-27.rvx"

DOSEman
Serial Number:	351
Start Test:	6/29/2021 2:57:00
End Test:	7/1/2021 9:27:00
Sample Time:	42.5 hours
Data Records:	85

RESULTS

Radon Average:	22632 Bq/m³
Error:	0.8 %
Radon Exposure:	961874 Bqh/m³
Radon Dose:	3352.387 µSv

Radon* Average (fast):	22201 Bq/m³
Error:	1.1 %
Radon* Exposure (fast):	943562 Bqh/m³
Radon* Dose (fast):	3288.565 µSv

Sum Spectrum
Channel	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
Counts	240	251	274	260	269	246	226	228	262	243	208	132	188	345	729	3409	1749	44	75	64	100	131	223	132	82	50	68	64	83	128	177	398	1288	4765	145	39	24	17	1	3	1	1	0	3	24	26	11	7	6	2

Time	Radon	Error	Radon* (fast)	Error	ROI1	ROI2	ROI3	ROI4	ROI5
	Bq/m³	%	Bq/m³	%	cts	cts	cts	cts	cts
6/29/2021 3:27:00	26796	7	2570	29	5	8	19	224	1
6/29/2021 3:57:00	31783	6	26544	9	42	87	21	152	1
6/29/2021 4:27:00	41742	5	49251	7	77	163	13	130	3
6/29/2021 4:57:00	54159	5	65901	6	104	216	19	159	2
6/29/2021 5:27:00	68326	4	81194	5	113	281	23	210	2
6/29/2021 5:57:00	80049	4	96785	5	145	325	22	238	3
6/29/2021 6:27:00	82670	4	89370	5	130	303	27	297	1
6/29/2021 6:57:00	35459	6	7207	17	9	27	15	278	2
6/29/2021 7:27:00	25132	7	2015	37	1	11	14	212	4
6/29/2021 7:57:00	13926	9	1421	43	3	5	9	116	2
6/29/2021 8:27:00	9343	11	1124	46	3	3	9	77	1
6/29/2021 8:57:00	4293	17	0	0	1	1	3	37	2
6/29/2021 9:27:00	2090	24	0	0	0	2	6	17	1
6/29/2021 9:57:00	567	45	207	100	1	0	0	4	0
6/29/2021 10:27:00	1119	35	0	0	1	1	4	9	2
6/29/2021 10:57:00	793	38	413	71	0	2	2	5	0
6/29/2021 11:27:00	375	74	0	0	1	2	1	2	3
6/29/2021 11:57:00	6007	14	9507	15	18	28	6	7	0
6/30/2021 12:27:00	22553	7	34720	8	51	117	10	31	0
6/30/2021 12:57:00	31493	6	44407	7	59	157	8	63	2
6/30/2021 1:27:00	54223	5	68084	6	100	230	14	149	1
6/30/2021 1:57:00	64423	4	80070	5	111	277	22	181	1
6/30/2021 2:27:00	74460	4	83700	5	123	282	18	252	0
6/30/2021 2:57:00	33065	6	6975	18	9	27	25	258	4
6/30/2021 3:27:00	18976	8	917	52	2	3	8	163	1
6/30/2021 3:57:00	13147	9	1240	41	1	5	8	110	0
6/30/2021 4:27:00	6056	14	917	52	1	4	5	49	1
6/30/2021 4:57:00	4080	17	620	58	0	3	5	33	0
6/30/2021 5:27:00	2026	25	0	0	0	1	5	18	2
6/30/2021 5:57:00	1133	32	827	50	1	3	1	6	0
6/30/2021 6:27:00	453	50	413	71	0	2	0	2	0
6/30/2021 6:57:00	553	53	0	0	0	1	0	5	2
6/30/2021 7:27:00	616	46	710	60	2	2	1	2	1
6/30/2021 7:57:00	6396	13	10424	14	20	31	2	6	1
6/30/2021 8:27:00	20336	7	31090	8	40	111	1	29	1
