Datetime,RecNbr,batt_volt_Min,PTemp,Flow_Avg,VWC_Avg,EC_Avg,T_Avg,VaporPress_Avg,AirTemp_Avg,RH_Avg,AtmPress_Avg,DrumTemp_Avg,DiffPress_Avg,Rain_Tot,Activity,radon,radon error,noise,status,reloc,external input,reserved,temperature,pressure,humidity,gamma dose rate_qa,voltage,reserveqa1,reserveqa2
28/06/2021 16:00,4132,12.04,22.92,0.914,0.018,0,25.8,1.6,24.23,52.94,1013,26.07,-3.749,0,0,114,48,0,8,7,6,0,24,1012.505005,55.5,0,0,0,0
28/06/2021 16:10,4133,12.05,22.64,0.901,0.028,0,23.47,1.549,23.13,54.71,1013,25.03,-4.165,0,0,292,71,0,8,0,6,0,24,1012.414917,55,0,0,0,0
28/06/2021 16:20,4134,12.05,22.5,0.9,0.028,0,22.02,1.528,22.27,56.86,1013,23.97,-4.033,0,0,568,90.5,4,8,0,6,0,24,1012.495361,55,0,0,0,0
28/06/2021 16:30,4135,12.05,22.39,0.903,0.028,0,21.12,1.52,21.63,58.86,1013,23.02,-3.885,0,0,676,100.5,0,8,0,6,0,24,1012.545959,55,0,0,0,0
28/06/2021 16:40,4136,12.05,22.31,0.901,0.028,0,20.54,1.516,21.14,60.44,1013,22.25,-3.941,0,0,516,91,0,8,0,6,0,24,1012.616577,55,0,0,0,0
28/06/2021 16:50,4137,12.05,22.22,0.908,0.028,0,20.16,1.517,20.8,61.77,1013,21.65,-3.759,0,0,656,105,0,8,0,6,0,24,1012.696411,55,0,0,0,0
28/06/2021 17:00,4138,12.05,22.17,0.937,0.028,0,19.9,1.518,20.56,62.75,1013,21.19,-4.093,0,0,640,105,0,8,0,6,0,24,1012.747009,55.25,0,0,0,0
28/06/2021 17:10,4139,12.04,22.11,0.935,0.028,0,19.72,1.519,20.38,63.44,1014,20.85,-4.109,0,0,712,109,0,8,0,6,0,24,1012.928345,55.25,0,0,0,0
28/06/2021 17:20,4140,12.04,22.08,0.937,0.028,0,19.6,1.52,20.26,64,1014,20.59,-3.991,0,0,660,106,0,8,0,6,0,24,1012.979431,55.25,0,0,0,0
28/06/2021 17:30,4141,12.05,22.03,0.937,0.028,0,19.51,1.52,20.16,64.39,1014,20.39,-3.981,0,0,696,112.5,0,8,0,6,0,24,1013.122192,55.5,0,0,0,0
28/06/2021 17:40,4142,12.04,22.03,0.936,0.028,0,19.44,1.521,20.1,64.67,1014,20.24,-4.008,0,0,668,114,0,8,0,6,0,24,1013.02124,55.5,0,0,0,0
28/06/2021 17:50,4143,12.05,21.97,0.935,0.028,0,19.39,1.516,20.03,64.7,1014,20.12,-3.941,0,0,780,125,0,8,0,6,0,24,1013.021729,55,0,0,0,0
28/06/2021 18:00,4144,12.05,21.95,0.935,0.028,0,19.35,1.515,20,64.83,1014,20.03,-3.957,0,1,688,117,0,8,0,6,0,24,1013.102661,55,0,0,0,0
28/06/2021 18:10,4145,12.04,21.92,0.938,0.029,0,19.33,1.514,19.98,64.93,1014,19.97,-4.038,0,1,1224,150,0,8,0,6,0,24,1013.185181,55,0,0,0,0
28/06/2021 18:20,4146,12.05,21.89,0.938,0.029,0,19.34,1.516,19.9,65.11,1014,19.98,-3.938,0,1,4448,346,0,8,0,6,0,23.875,1013.296509,55.5,0,0,0,0
28/06/2021 18:30,4147,12.04,21.86,0.937,0.029,0,19.36,1.519,19.9,65.35,1014,19.99,-4.011,0,1,10176,672,0,8,0,6,0,23.875,1013.399292,55.5,0,0,0,0
28/06/2021 18:40,4148,12.04,21.84,0.938,0.029,0,19.37,1.522,19.9,65.56,1014,20,-4.089,0,1,14720,908,0,8,0,5,0,23.875,1013.470947,55.5,0,0,0,0
28/06/2021 18:50,4149,12.04,21.81,0.939,0.029,0,19.37,1.524,19.88,65.74,1014,19.99,-4.051,0,1,20352,1200,0,8,0,6,0,23.875,1013.533691,55.5,0,0,0,0
28/06/2021 19:00,4150,12.05,21.81,0.937,0.029,0,19.37,1.524,19.8,65.85,1014,19.98,-4.043,0,1,25344,1432,0,8,0,6,0,23.875,1013.533875,55.5,0,0,0,0
28/06/2021 19:10,4151,12.04,21.78,0.933,0.028,0,19.36,1.522,19.8,65.9,1014,19.95,-4.019,0,0,23424,1408,0,8,0,6,0,23.875,1013.495056,55.5,0,0,0,0
28/06/2021 19:20,4152,12.05,21.78,0.933,0.028,0,19.31,1.52,19.8,65.93,1014,19.93,-3.963,0,0,7808,796,0,8,0,6,0,23.875,1013.525879,55.5,0,0,0,0
28/06/2021 19:30,4153,12.04,21.75,0.934,0.028,0,19.28,1.521,19.8,66.06,1014,19.88,-3.856,0,0,2608,454,0,8,0,6,0,23.75,1013.608398,56,0,0,0,0
28/06/2021 19:40,4154,12.04,21.72,0.934,0.028,0,19.26,1.523,19.8,66.13,1014,19.83,-3.991,0,0,1488,370,0,8,0,6,0,23.75,1013.58905,56,0,0,0,0
28/06/2021 19:50,4155,12.05,21.72,0.933,0.028,0,19.24,1.523,19.8,66.12,1014,19.79,-3.88,0,0,1824,360,0,8,0,6,0,23.75,1013.650208,56,0,0,0,0
28/06/2021 20:00,4156,12.05,21.72,0.933,0.028,0,19.23,1.523,19.8,66.1,1014,19.77,-4.004,0,0,1560,328,0,8,0,6,0,23.75,1013.569763,56,0,0,0,0
28/06/2021 20:10,4157,12.04,21.7,0.932,0.028,0,19.21,1.525,19.8,66.2,1014,19.73,-3.904,0,0,1216,284,0,8,0,6,0,23.75,1013.539795,56,0,0,0,0
28/06/2021 20:20,4158,12.05,21.7,0.932,0.028,0,19.2,1.523,19.8,66.13,1014,19.72,-3.907,0,0,1232,270,0,8,0,6,0,23.75,1013.611084,56,0,0,0,0
28/06/2021 20:30,4159,12.05,21.7,0.932,0.028,0,19.19,1.525,19.8,66.22,1015,19.7,-3.92,0,0,1128,249,0,8,0,6,0,23.75,1013.692261,56,0,0,0,0
28/06/2021 20:40,4160,12.04,21.67,0.932,0.028,0,19.19,1.527,19.8,66.3,1015,19.68,-3.902,0,0,928,226,0,8,0,6,0,23.75,1013.713623,56,0,0,0,0
28/06/2021 20:50,4161,12.05,21.67,0.93,0.028,0,19.18,1.528,19.8,66.32,1015,19.67,-3.906,0,0,932,219,0,8,0,6,0,23.75,1013.653625,56,0,0,0,0
28/06/2021 21:00,4162,12.05,21.67,0.93,0.028,0,19.17,1.53,19.8,66.4,1015,19.65,-3.91,0,1,1020,217,0,8,0,6,0,23.75,1013.826965,56,0,0,0,0
