Datetime,DiffPress_Slope,DiffPress_Diff
28/06/2021 18:00,-0.09,-0.086
28/06/2021 21:00,-0.05,-0.096
29/06/2021 00:00,-0.08,-0.091
29/06/2021 03:00,-0.04,-0.049
29/06/2021 06:00,-0.11,-0.151
29/06/2021 09:00,-0.13,-0.133
29/06/2021 12:00,-0.34,-0.297
29/06/2021 18:00,0.18,0.321
29/06/2021 21:00,0.14,0.151
30/06/2021 00:00,-0.07,-0.051
30/06/2021 03:00,0.08,0.231
30/06/2021 06:00,-0.13,-0.115
30/06/2021 09:00,0.09,0.215
30/06/2021 12:00,0.17,0.279
30/06/2021 15:00,-0.23,-0.103
30/06/2021 18:00,0.17,0.305
30/06/2021 21:00,0.2,0.14
01/07/2021 00:00,0.01,0.082
01/07/2021 03:00,0.07,0.172
