"","Datetime","Flux","Std_err","Flow_Avg","VWC_Avg","EC_Avg","T_Avg","VaporPress_Avg","AirTemp_Avg","RH_Avg","AtmPress_Avg","DrumTemp_Avg","DiffPress_Avg","Rain_Tot","Date"
"1","07/07/2021 12:00",7141.63,0,0.93,0.02,0,20,1.71,20.07,72.91,1016,20.13,1.09,0,2021-07-07 12:00:00
"2","07/07/2021 15:00",5110.61,0,0.93,0.02,0,20.02,1.7,20.1,72.34,1017,20.17,0.88,0,2021-07-07 15:00:00
"3","07/07/2021 18:00",5445.17,0,0.92,0.02,0,20.02,1.7,20.1,72.33,1018,20.18,0.68,0,2021-07-07 18:00:00
"4","07/07/2021 21:00",5424.77,0,0.93,0.02,0,20.01,1.7,20.1,72.22,1019,20.16,0.67,0,2021-07-07 21:00:00
"5","08/07/2021 00:00",5274.62,0,0.92,0.02,0,19.99,1.69,20.1,72.09,1020,20.14,0.63,0,2021-07-08 00:00:00
"6","08/07/2021 03:00",5356.22,0,0.92,0.02,0,19.97,1.69,20,72.2,1019.86,20.11,0.74,0,2021-07-08 03:00:00
"7","08/07/2021 06:00",5184.46,0,0.92,0.02,0,19.95,1.69,20,72.33,1020.43,20.09,0.68,0,2021-07-08 06:00:00
"8","08/07/2021 09:00",5509.22,0,0.93,0.02,0,20.05,1.7,20.08,72.32,1021,20.24,0.98,0,2021-07-08 09:00:00
"9","08/07/2021 12:00",5241.17,0,0.93,0.02,0,19.97,1.69,20,71.92,1022,20.1,1.06,0,2021-07-08 12:00:00
"10","08/07/2021 15:00",5402.74,0,0.92,0.02,0,20.01,1.68,20.09,71.53,1021,20.17,0.81,0,2021-07-08 15:00:00
"11","08/07/2021 18:00",5233.82,0,0.92,0.02,0,19.99,1.67,20.1,70.93,1021,20.13,1.19,0,2021-07-08 18:00:00
"12","08/07/2021 21:00",5203.22,0,0.92,0.02,0,19.98,1.66,20.1,70.62,1021.14,20.12,0.92,0,2021-07-08 21:00:00
"13","09/07/2021 00:00",5355.2,0,0.92,0.02,0,19.98,1.66,20.1,70.85,1021,20.12,1.21,0,2021-07-09 00:00:00
"14","09/07/2021 03:00",4980.05,0,0.92,0.02,0,19.98,1.67,20.1,71.1,1019.29,20.12,1.23,0,2021-07-09 03:00:00
"15","09/07/2021 06:00",5370.91,0,0.92,0.02,0,19.97,1.66,20.04,70.96,1019,20.12,1.21,0,2021-07-09 06:00:00
"16","09/07/2021 09:00",5167.32,0,0.92,0.02,0,20,1.67,20.1,70.84,1018.71,20.16,1.26,0,2021-07-09 09:00:00
"17","09/07/2021 12:00",5217.1,0,0.92,0.02,0,20.06,1.68,20.18,70.98,1017.86,20.22,0.97,0,2021-07-09 12:00:00
"18","09/07/2021 15:00",5156.3,0,0.92,0.02,0,20.07,1.68,20.2,71.2,1017,20.22,1.06,0,2021-07-09 15:00:00
"19","09/07/2021 18:00",5360.3,0,0.92,0.02,0,20.07,1.68,20.2,71.28,1016.43,20.23,1.16,0,2021-07-09 18:00:00
"20","09/07/2021 21:00",5227.7,0,0.92,0.02,0,20.09,1.69,20.2,71.6,1017,20.24,1.07,0,2021-07-09 21:00:00
"21","10/07/2021 00:00",4978.01,0,0.92,0.02,0,20.09,1.7,20.2,71.89,1015.71,20.24,1.14,0,2021-07-10 00:00:00
"22","10/07/2021 03:00",5459.86,0,0.91,0.02,0,20.06,1.71,20.12,72.29,1014,20.21,0.87,0,2021-07-10 03:00:00
"23","10/07/2021 06:00",5415.38,0,0.91,0.02,0,20.05,1.7,20.1,72.18,1014.71,20.19,1.08,0,2021-07-10 06:00:00
"24","10/07/2021 09:00",5505.96,0,0.91,0.02,0,20.07,1.7,20.16,72.1,1015,20.22,1.03,0,2021-07-10 09:00:00
"25","10/07/2021 12:00",5261.98,0,0.91,0.02,0,20.09,1.71,20.2,72.4,1015.43,20.25,1.02,0,2021-07-10 12:00:00
"26","10/07/2021 15:00",5547.17,0,0.92,0.02,0,20.11,1.72,20.2,72.41,1015,20.26,1.06,0,2021-07-10 15:00:00
"27","10/07/2021 18:00",5186.9,0,0.91,0.02,0,20.12,1.72,20.2,72.5,1015,20.27,0.98,0,2021-07-10 18:00:00
"28","10/07/2021 21:00",5419.87,0,0.91,0.02,0,20.14,1.72,20.2,72.5,1016,20.29,1.1,0,2021-07-10 21:00:00
"29","11/07/2021 00:00",5289.31,0,0.91,0.03,0,20.15,1.73,20.28,72.78,1014.14,20.3,1.14,0,2021-07-11 00:00:00
"30","11/07/2021 03:00",5323.18,0,0.91,0.02,0,20.15,1.74,20.24,73.12,1011.43,20.29,0.89,0,2021-07-11 03:00:00
"31","11/07/2021 06:00",5013.91,0,0.9,0.02,0,20.15,1.73,20.2,73.01,1010,20.29,1.02,0,2021-07-11 06:00:00
"32","11/07/2021 09:00",5243.62,0,0.9,0.02,0,20.19,1.73,20.3,72.73,1009,20.34,0.95,0,2021-07-11 09:00:00
"33","11/07/2021 12:00",5241.98,0,0.9,0.02,0,20.22,1.74,20.3,72.89,1008,20.37,1.1,0,2021-07-11 12:00:00
"34","11/07/2021 15:00",5085.31,0,0.9,0.02,0,20.26,1.75,20.35,73.28,1009,20.4,1.19,0,2021-07-11 15:00:00
"35","11/07/2021 18:00",5213.42,0,0.91,0.03,0,20.28,1.76,20.4,73.73,1009.71,20.43,0.67,0,2021-07-11 18:00:00
"36","11/07/2021 21:00",5173.44,0,0.91,0.03,0,20.31,1.78,20.4,74.35,1010,20.45,1.15,0,2021-07-11 21:00:00
"37","12/07/2021 00:00",5325.62,0,0.91,0.03,0,20.32,1.8,20.4,75.1,1011,20.46,0.97,0,2021-07-12 00:00:00
"38","12/07/2021 03:00",5210.57,0,0.91,0.03,0,20.24,1.76,20.3,74.05,1011,20.38,0.74,0,2021-07-12 03:00:00
"39","12/07/2021 06:00",5480.66,0,0.91,0.03,0,20.18,1.74,20.2,73.3,1011,20.31,1.31,0,2021-07-12 06:00:00
