Datetime,RecNbr,batt_volt_Min,PTemp,Flow_Avg,VWC_Avg,EC_Avg,T_Avg,VaporPress_Avg,AirTemp_Avg,RH_Avg,AtmPress_Avg,DrumTemp_Avg,DiffPress_Avg,Rain_Tot,Activity,radon,radon error,noise,status,reloc,external input,reserved,temperature,pressure,humidity,gamma dose rate_qa,voltage,reserveqa1,reserveqa2
23/10/2021 10:10,9538,12.05,19.49,1.213,0.357,0.096,16.74,1.028,16.8,53.78,996,17.85,-1.134,0,0,44.5,49.25,1,8,3,6,0,19.375,994.6532593,50.25,0,0,0,0
23/10/2021 10:20,9539,12.05,19.28,1.11,0.384,0.104,14.92,1.023,16.04,56.17,996,16.68,-1.593,0,0,15.8125,33.25,1,8,0,6,0,19.5,994.6278076,52,0,0,0,0
23/10/2021 10:30,9540,12.05,19,1.074,0.384,0.105,13.38,0.986,15.12,57.4,995,15.46,-1.707,0,0,44,37.75,4,8,0,5,0,19.875,994.6339722,50.25,0,0,0,0
23/10/2021 10:40,9541,12.05,18.74,1.077,0.385,0.104,12.52,1.03,14.46,62.52,995,14.54,-1.484,0,0,55.5,39.25,0,8,0,6,0,20,994.5682983,50.25,0,0,0,0
23/10/2021 10:50,9542,12.04,18.97,1.087,0.385,0.105,12.06,1.012,14.31,62.1,995,13.94,-1.163,0,0,47.75,38.5,0,8,0,6,0,20,994.5325317,49.25,0,0,0,0
23/10/2021 11:00,9543,12.05,19.36,1.085,0.385,0.104,11.88,1.017,14.92,59.93,995,14.11,-1.092,0,0,32.5,36.5,1,8,0,6,0,20.25,994.5076904,49.25,0,0,0,0
23/10/2021 11:10,9544,12.05,19.6,1.083,0.385,0.105,12.01,1.09,15.52,61.8,995,14.5,-1.03,0,0,8.0625,30.625,1,8,0,6,0,20.75,994.4647827,49.25,0,0,0,0
23/10/2021 11:20,9545,12.05,19.65,1.083,0.385,0.105,12.24,1.069,15.79,59.6,995,14.64,-1.323,0,0,38,36.75,0,8,0,6,0,21.125,994.3972168,47.5,0,0,0,0
23/10/2021 11:30,9546,12.05,19.39,1.084,0.386,0.106,12.27,1.075,15.34,61.7,995,14.71,-1.328,0,0,19,33.5,1,8,0,6,0,21.125,994.3108521,47.5,0,0,0,0
23/10/2021 11:40,9547,12.05,19.26,1.087,0.392,0.111,12.35,1.094,15.16,63.5,995,14.75,-1.309,0,0,22.375,34.25,1,8,0,6,0,20.875,994.2081299,48.5,0,0,0,0
23/10/2021 11:50,9548,12.05,19.39,1.086,0.393,0.112,12.35,1.123,15.52,63.75,995,14.89,-1.243,0,0,58.75,39.25,0,8,0,6,0,20.875,994.0419312,49.75,0,0,0,0
23/10/2021 12:00,9549,12.05,19.49,1.088,0.394,0.113,12.44,1.161,15.69,65.2,995,14.97,-1.058,0,1,-1.6640625,27.25,1,8,0,6,0,21,993.8911743,49.75,0,0,0,0
23/10/2021 12:10,9550,12.05,19.49,1.089,0.386,0.107,12.58,1.16,15.76,64.78,995,14.95,-1.032,0,1,92.5,43.25,0,8,0,6,0,21.125,993.7648315,50.25,0,0,0,0
23/10/2021 12:20,9551,12.05,19.36,1.089,0.386,0.107,12.61,1.177,15.8,65.54,995,14.79,-1.082,0,1,71.5,41.25,0,8,0,6,0,21.25,993.6696777,50.25,0,0,0,0
