Measurement time,radon,radon error,noise,status,reloc,external input,reserved,temperature,pressure,humidity,gamma dose rate_qa,voltage,reserveqa1,reserveqa2
2021-10-23 09:50:00,44.5,49.25,1,8,3,6,0,19.375,994.6532592773438,50.25,0.0,0.0,0,0
2021-10-23 10:00:00,15.8125,33.25,1,8,0,6,0,19.5,994.6278076171875,52.0,0.0,0.0,0,0
2021-10-23 10:10:00,44.0,37.75,4,8,0,5,0,19.875,994.6339721679688,50.25,0.0,0.0,0,0
2021-10-23 10:20:00,55.5,39.25,0,8,0,6,0,20.0,994.5682983398438,50.25,0.0,0.0,0,0
2021-10-23 10:30:00,47.75,38.5,0,8,0,6,0,20.0,994.5325317382812,49.25,0.0,0.0,0,0
2021-10-23 10:40:00,32.5,36.5,1,8,0,6,0,20.25,994.5076904296875,49.25,0.0,0.0,0,0
2021-10-23 10:50:00,8.0625,30.625,1,8,0,6,0,20.75,994.4647827148438,49.25,0.0,0.0,0,0
2021-10-23 11:00:00,38.0,36.75,0,8,0,6,0,21.125,994.397216796875,47.5,0.0,0.0,0,0
2021-10-23 11:10:00,19.0,33.5,1,8,0,6,0,21.125,994.3108520507812,47.5,0.0,0.0,0,0
2021-10-23 11:20:00,22.375,34.25,1,8,0,6,0,20.875,994.2081298828125,48.5,0.0,0.0,0,0
2021-10-23 11:30:00,58.75,39.25,0,8,0,6,0,20.875,994.0419311523438,49.75,0.0,0.0,0,0
2021-10-23 11:40:00,-1.6640625,27.25,1,8,0,6,0,21.0,993.8911743164062,49.75,0.0,0.0,0,0
2021-10-23 11:50:00,92.5,43.25,0,8,0,6,0,21.125,993.7648315429688,50.25,0.0,0.0,0,0
2021-10-23 12:00:00,71.5,41.25,0,8,0,6,0,21.25,993.669677734375,50.25,0.0,0.0,0,0
2021-10-23 12:10:00,84.5,43.0,0,8,0,6,0,21.25,993.5344848632812,50.25,0.0,0.0,0,0
2021-10-23 12:20:00,71.0,41.75,0,8,0,6,0,21.375,993.4139404296875,51.0,0.0,0.0,0,0
2021-10-23 12:30:00,125.0,48.0,0,8,0,6,0,22.0,993.3355102539062,50.5,0.0,0.0,0,0
2021-10-23 12:40:00,119.0,48.0,0,8,0,6,0,23.25,993.1907958984375,51.0,0.0,0.0,0,0
2021-10-23 12:50:00,122.5,48.25,0,8,0,6,0,25.25,993.0949096679688,49.75,0.0,0.0,0,0
2021-10-23 13:00:00,44.25,45.75,1,8,0,6,0,27.5,993.0119018554688,48.75,0.0,0.0,0,0
2021-10-23 13:10:00,41.25,38.75,32,8,0,6,0,29.375,992.9783935546875,45.5,0.0,0.0,0,0
2021-10-23 13:20:00,78.0,43.25,32,8,0,6,0,31.0,992.9283447265625,43.5,0.0,0.0,0,0
2021-10-23 13:30:00,48.0,45.75,32,8,0,6,0,32.25,992.909912109375,41.25,0.0,0.0,0,0
2021-10-23 13:40:00,5.0,32.25,33,8,0,6,0,33.5,992.808349609375,39.5,0.0,0.0,0,0
2021-10-23 13:50:00,24.25,35.75,33,8,0,6,0,34.5,992.8387451171875,37.25,0.0,0.0,0,0
2021-10-23 14:00:00,1.9140625,29.75,33,8,0,6,1,35.25,992.7847290039062,36.5,0.0,0.0,0,0
2021-10-23 14:10:00,38.0,37.25,32,8,0,6,1,36.0,992.85009765625,36.25,0.0,0.0,0,0
2021-10-23 14:20:00,50.75,38.75,32,8,0,6,1,36.5,992.9243774414062,34.5,0.0,0.0,0,0
2021-10-23 14:30:00,57.25,45.75,32,8,0,7,1,37.0,992.986083984375,33.25,0.0,0.0,0,0
