Datetime,Flux,Std_err,Flow_Avg,VWC_Avg,EC_Avg,T_Avg,VaporPress_Avg,AirTemp_Avg,RH_Avg,AtmPress_Avg,DrumTemp_Avg,DiffPress_Avg,Rain_Tot
23/10/2021 12:00,16.59,7,1.09,0.39,0.11,12.81,1.18,16.04,65.0,994.57,15.13,-1.37,0
23/10/2021 15:00,45.81,19,1.05,0.39,0.12,18.59,1.44,23.42,50.02,993.0,23.81,-3.36,0
23/10/2021 18:00,51.41,11,1.21,0.39,0.12,12.76,1.12,10.51,87.91,993.86,11.78,-1.21,0
23/10/2021 21:00,42.66,19,1.13,0.39,0.12,10.39,1.0,7.96,93.16,994.0,8.61,-0.68,0
24/10/2021 00:00,51.16,18,1.13,0.39,0.11,9.33,0.95,7.07,94.3,994.0,7.6,-0.46,0
24/10/2021 03:00,31.09,6,1.13,0.39,0.11,8.75,0.95,7.06,94.47,993.0,7.28,-0.31,0
24/10/2021 06:00,58.26,19,1.14,0.4,0.11,7.84,0.86,6.09,91.71,993.0,6.27,-0.04,0
24/10/2021 09:00,41.37,23,1.08,0.39,0.1,10.46,1.3,18.51,61.42,994.0,12.37,-1.27,0
24/10/2021 12:00,36.17,11,1.08,0.39,0.11,13.99,1.31,18.44,61.96,994.0,17.18,-2.5,0
24/10/2021 15:00,51.71,16,1.04,0.39,0.12,18.75,1.6,22.65,58.39,993.14,23.23,-3.63,0
24/10/2021 18:00,48.1,14,1.09,0.39,0.12,13.01,1.21,11.33,90.13,994.0,12.32,-1.72,0
24/10/2021 21:00,49.51,18,1.11,0.39,0.12,11.44,1.16,9.91,95.39,995.0,10.29,-1.26,0
25/10/2021 00:00,59.73,11,1.11,0.4,0.12,11.29,1.16,9.96,94.79,994.43,10.42,-1.35,0
25/10/2021 03:00,62.55,12,1.11,0.39,0.12,12.01,1.3,11.42,96.26,994.0,11.67,-1.38,0
25/10/2021 06:00,54.1,23,1.11,0.39,0.11,11.25,1.18,10.01,95.63,994.0,10.56,-1.42,0
25/10/2021 09:00,73.56,10,1.08,0.39,0.11,13.14,1.5,16.45,80.4,995.0,14.25,-2.05,0
25/10/2021 12:00,55.14,18,1.08,0.39,0.11,15.7,1.47,18.65,68.38,995.0,18.26,-2.93,0
25/10/2021 15:00,52.45,11,1.07,0.39,0.12,16.28,1.44,17.15,73.95,995.0,17.43,-3.08,0
25/10/2021 18:00,63.65,5,1.11,0.39,0.12,13.43,1.28,12.14,90.7,996.43,12.94,-2.05,0
25/10/2021 21:00,51.16,15,1.12,0.39,0.12,12.7,1.32,11.74,95.91,997.0,12.06,-1.61,0
26/10/2021 00:00,45.41,7,1.13,0.39,0.11,10.62,1.07,8.68,95.36,997.0,9.29,-0.92,0
26/10/2021 03:00,54.35,5,1.13,0.39,0.11,9.51,1.02,7.73,97.0,997.0,8.06,-0.89,0
26/10/2021 06:00,53.0,8,1.14,0.39,0.11,8.59,0.95,6.63,97.09,997.0,7.05,-0.45,0
26/10/2021 09:00,57.53,17,1.09,0.39,0.11,10.72,1.61,18.2,78.35,998.0,12.11,-1.38,0
26/10/2021 12:00,56.18,7,1.08,0.38,0.11,14.18,1.41,18.09,67.9,996.0,17.12,-2.74,0
26/10/2021 15:00,44.92,13,1.04,0.38,0.12,19.14,1.59,22.86,57.08,995.0,24.44,-3.31,0
26/10/2021 18:00,86.29,16,1.09,0.39,0.12,13.25,1.26,11.46,93.29,995.86,12.49,-1.91,0
26/10/2021 21:00,71.73,9,1.12,0.39,0.12,11.22,1.11,9.25,95.47,996.0,9.9,-1.21,0
27/10/2021 00:00,81.15,10,1.12,0.39,0.11,9.93,1.05,8.11,97.13,995.0,8.49,-0.96,0
27/10/2021 03:00,58.51,11,1.12,0.39,0.11,8.89,0.98,7.02,97.24,994.0,7.32,-0.64,0
27/10/2021 06:00,66.03,22,1.13,0.39,0.11,7.98,0.9,5.86,97.16,994.0,6.36,-0.28,0
27/10/2021 09:00,74.88,20,1.07,0.39,0.11,10.27,1.55,18.83,73.2,994.0,11.85,-1.26,0
27/10/2021 12:00,70.99,17,1.08,0.39,0.11,14.23,1.41,19.33,62.97,993.29,17.98,-2.88,0
27/10/2021 15:00,52.51,3,1.04,0.38,0.12,19.28,1.57,23.8,53.27,992.0,24.61,-3.46,0
27/10/2021 18:00,43.33,23,1.1,0.38,0.12,13.07,1.22,11.57,89.81,992.0,12.35,-1.77,0
27/10/2021 21:00,77.23,12,1.12,0.39,0.11,10.78,1.06,8.95,92.83,991.0,9.36,-0.96,0
28/10/2021 00:00,70.87,18,1.12,0.38,0.11,9.52,0.97,7.52,93.57,989.14,8.01,-0.86,0
28/10/2021 03:00,60.22,22,1.12,0.39,0.11,8.86,0.96,7.53,92.39,987.86,7.81,-0.55,0
28/10/2021 06:00,51.53,26,1.11,0.38,0.11,10.28,0.99,13.43,64.47,986.71,11.09,-1.15,0
28/10/2021 09:00,48.23,15,1.07,0.39,0.11,12.6,1.09,19.21,49.12,986.0,15.79,-2.19,0
28/10/2021 12:00,91.07,9,1.07,0.38,0.11,15.37,1.14,20.99,45.73,984.0,19.19,-3.08,0
