Datetime,DiffPress_Slope,DiffPress_Diff
23/10/2021 12:00,-0.88,-0.767
23/10/2021 15:00,-0.02,0.094
23/10/2021 18:00,-0.0,0.109
23/10/2021 21:00,0.09,0.01
24/10/2021 00:00,-0.45,-0.339
24/10/2021 03:00,-0.49,-0.435
24/10/2021 06:00,0.39,0.28
24/10/2021 09:00,-1.45,-1.413
24/10/2021 12:00,-0.64,-0.506
24/10/2021 15:00,-0.06,-0.128
24/10/2021 18:00,-0.01,0.085
24/10/2021 21:00,-0.46,-0.211
25/10/2021 00:00,-0.39,-0.323
25/10/2021 03:00,-0.3,-0.284
25/10/2021 06:00,-0.04,-0.068
25/10/2021 09:00,-0.47,-0.373
25/10/2021 12:00,-0.25,-0.321
25/10/2021 15:00,0.32,0.348
25/10/2021 18:00,-0.11,-0.227
25/10/2021 21:00,-0.53,-0.496
26/10/2021 00:00,-0.29,-0.289
26/10/2021 03:00,-0.29,-0.335
26/10/2021 06:00,-0.52,-0.446
26/10/2021 09:00,-1.23,-1.038
26/10/2021 12:00,-0.68,-0.648
26/10/2021 15:00,-0.51,-0.412
26/10/2021 18:00,0.0,0.062
26/10/2021 21:00,-0.19,-0.114
27/10/2021 00:00,0.37,0.312
27/10/2021 03:00,-0.32,-0.295
27/10/2021 06:00,0.27,0.188
27/10/2021 09:00,-1.36,-1.147
27/10/2021 12:00,-0.42,-0.257
27/10/2021 15:00,-0.48,-0.487
27/10/2021 18:00,0.1,0.199
27/10/2021 21:00,-0.34,-0.334
28/10/2021 00:00,-0.26,-0.244
28/10/2021 03:00,-0.27,-0.274
28/10/2021 06:00,-0.3,-0.293
28/10/2021 09:00,-1.24,-1.117
28/10/2021 12:00,0.13,0.232
