"","Date","Datetime.x","Flux","Std_err","Flow_Avg","VWC_Avg","EC_Avg","T_Avg","VaporPress_Avg","AirTemp_Avg","RH_Avg","AtmPress_Avg","DrumTemp_Avg","DiffPress_Avg","Rain_Tot","Datetime.y","DiffPress_Slope","DiffPress_Diff"
"1",2021-10-23 12:00:00,"23/10/2021 12:00",16.59,7,1.09,0.39,0.11,12.81,1.18,16.04,65,994.57,15.13,-1.37,0,"23/10/2021 12:00",-0.88,-0.767
"2",2021-10-23 15:00:00,"23/10/2021 15:00",45.81,19,1.05,0.39,0.12,18.59,1.44,23.42,50.02,993,23.81,-3.36,0,"23/10/2021 15:00",-0.02,0.094
"3",2021-10-23 18:00:00,"23/10/2021 18:00",51.41,11,1.21,0.39,0.12,12.76,1.12,10.51,87.91,993.86,11.78,-1.21,0,"23/10/2021 18:00",0,0.109
"4",2021-10-23 21:00:00,"23/10/2021 21:00",42.66,19,1.13,0.39,0.12,10.39,1,7.96,93.16,994,8.61,-0.68,0,"23/10/2021 21:00",0.09,0.01
"5",2021-10-24 00:00:00,"24/10/2021 00:00",51.16,18,1.13,0.39,0.11,9.33,0.95,7.07,94.3,994,7.6,-0.46,0,"24/10/2021 00:00",-0.45,-0.339
"6",2021-10-24 03:00:00,"24/10/2021 03:00",31.09,6,1.13,0.39,0.11,8.75,0.95,7.06,94.47,993,7.28,-0.31,0,"24/10/2021 03:00",-0.49,-0.435
"7",2021-10-24 06:00:00,"24/10/2021 06:00",58.26,19,1.14,0.4,0.11,7.84,0.86,6.09,91.71,993,6.27,-0.04,0,"24/10/2021 06:00",0.39,0.28
"8",2021-10-24 09:00:00,"24/10/2021 09:00",41.37,23,1.08,0.39,0.1,10.46,1.3,18.51,61.42,994,12.37,-1.27,0,"24/10/2021 09:00",-1.45,-1.413
"9",2021-10-24 12:00:00,"24/10/2021 12:00",36.17,11,1.08,0.39,0.11,13.99,1.31,18.44,61.96,994,17.18,-2.5,0,"24/10/2021 12:00",-0.64,-0.506
"10",2021-10-24 15:00:00,"24/10/2021 15:00",51.71,16,1.04,0.39,0.12,18.75,1.6,22.65,58.39,993.14,23.23,-3.63,0,"24/10/2021 15:00",-0.06,-0.128
"11",2021-10-24 18:00:00,"24/10/2021 18:00",48.1,14,1.09,0.39,0.12,13.01,1.21,11.33,90.13,994,12.32,-1.72,0,"24/10/2021 18:00",-0.01,0.085
"12",2021-10-24 21:00:00,"24/10/2021 21:00",49.51,18,1.11,0.39,0.12,11.44,1.16,9.91,95.39,995,10.29,-1.26,0,"24/10/2021 21:00",-0.46,-0.211
"13",2021-10-25 00:00:00,"25/10/2021 00:00",59.73,11,1.11,0.4,0.12,11.29,1.16,9.96,94.79,994.43,10.42,-1.35,0,"25/10/2021 00:00",-0.39,-0.323
"14",2021-10-25 03:00:00,"25/10/2021 03:00",62.55,12,1.11,0.39,0.12,12.01,1.3,11.42,96.26,994,11.67,-1.38,0,"25/10/2021 03:00",-0.3,-0.284
"15",2021-10-25 06:00:00,"25/10/2021 06:00",54.1,23,1.11,0.39,0.11,11.25,1.18,10.01,95.63,994,10.56,-1.42,0,"25/10/2021 06:00",-0.04,-0.068
"16",2021-10-25 09:00:00,"25/10/2021 09:00",73.56,10,1.08,0.39,0.11,13.14,1.5,16.45,80.4,995,14.25,-2.05,0,"25/10/2021 09:00",-0.47,-0.373
"17",2021-10-25 12:00:00,"25/10/2021 12:00",55.14,18,1.08,0.39,0.11,15.7,1.47,18.65,68.38,995,18.26,-2.93,0,"25/10/2021 12:00",-0.25,-0.321
"18",2021-10-25 15:00:00,"25/10/2021 15:00",52.45,11,1.07,0.39,0.12,16.28,1.44,17.15,73.95,995,17.43,-3.08,0,"25/10/2021 15:00",0.32,0.348
"19",2021-10-25 18:00:00,"25/10/2021 18:00",63.65,5,1.11,0.39,0.12,13.43,1.28,12.14,90.7,996.43,12.94,-2.05,0,"25/10/2021 18:00",-0.11,-0.227
"20",2021-10-25 21:00:00,"25/10/2021 21:00",51.16,15,1.12,0.39,0.12,12.7,1.32,11.74,95.91,997,12.06,-1.61,0,"25/10/2021 21:00",-0.53,-0.496
"21",2021-10-26 00:00:00,"26/10/2021 00:00",45.41,7,1.13,0.39,0.11,10.62,1.07,8.68,95.36,997,9.29,-0.92,0,"26/10/2021 00:00",-0.29,-0.289
"22",2021-10-26 03:00:00,"26/10/2021 03:00",54.35,5,1.13,0.39,0.11,9.51,1.02,7.73,97,997,8.06,-0.89,0,"26/10/2021 03:00",-0.29,-0.335
"23",2021-10-26 06:00:00,"26/10/2021 06:00",53,8,1.14,0.39,0.11,8.59,0.95,6.63,97.09,997,7.05,-0.45,0,"26/10/2021 06:00",-0.52,-0.446
"24",2021-10-26 09:00:00,"26/10/2021 09:00",57.53,17,1.09,0.39,0.11,10.72,1.61,18.2,78.35,998,12.11,-1.38,0,"26/10/2021 09:00",-1.23,-1.038
"25",2021-10-26 12:00:00,"26/10/2021 12:00",56.18,7,1.08,0.38,0.11,14.18,1.41,18.09,67.9,996,17.12,-2.74,0,"26/10/2021 12:00",-0.68,-0.648
"26",2021-10-26 15:00:00,"26/10/2021 15:00",44.92,13,1.04,0.38,0.12,19.14,1.59,22.86,57.08,995,24.44,-3.31,0,"26/10/2021 15:00",-0.51,-0.412
"27",2021-10-26 18:00:00,"26/10/2021 18:00",86.29,16,1.09,0.39,0.12,13.25,1.26,11.46,93.29,995.86,12.49,-1.91,0,"26/10/2021 18:00",0,0.062
"28",2021-10-26 21:00:00,"26/10/2021 21:00",71.73,9,1.12,0.39,0.12,11.22,1.11,9.25,95.47,996,9.9,-1.21,0,"26/10/2021 21:00",-0.19,-0.114
"29",2021-10-27 00:00:00,"27/10/2021 00:00",81.15,10,1.12,0.39,0.11,9.93,1.05,8.11,97.13,995,8.49,-0.96,0,"27/10/2021 00:00",0.37,0.312
"30",2021-10-27 03:00:00,"27/10/2021 03:00",58.51,11,1.12,0.39,0.11,8.89,0.98,7.02,97.24,994,7.32,-0.64,0,"27/10/2021 03:00",-0.32,-0.295
"31",2021-10-27 06:00:00,"27/10/2021 06:00",66.03,22,1.13,0.39,0.11,7.98,0.9,5.86,97.16,994,6.36,-0.28,0,"27/10/2021 06:00",0.27,0.188
"32",2021-10-27 09:00:00,"27/10/2021 09:00",74.88,20,1.07,0.39,0.11,10.27,1.55,18.83,73.2,994,11.85,-1.26,0,"27/10/2021 09:00",-1.36,-1.147
"33",2021-10-27 12:00:00,"27/10/2021 12:00",70.99,17,1.08,0.39,0.11,14.23,1.41,19.33,62.97,993.29,17.98,-2.88,0,"27/10/2021 12:00",-0.42,-0.257
"34",2021-10-27 15:00:00,"27/10/2021 15:00",52.51,3,1.04,0.38,0.12,19.28,1.57,23.8,53.27,992,24.61,-3.46,0,"27/10/2021 15:00",-0.48,-0.487
"35",2021-10-27 18:00:00,"27/10/2021 18:00",43.33,23,1.1,0.38,0.12,13.07,1.22,11.57,89.81,992,12.35,-1.77,0,"27/10/2021 18:00",0.1,0.199
"36",2021-10-27 21:00:00,"27/10/2021 21:00",77.23,12,1.12,0.39,0.11,10.78,1.06,8.95,92.83,991,9.36,-0.96,0,"27/10/2021 21:00",-0.34,-0.334
"37",2021-10-28 00:00:00,"28/10/2021 00:00",70.87,18,1.12,0.38,0.11,9.52,0.97,7.52,93.57,989.14,8.01,-0.86,0,"28/10/2021 00:00",-0.26,-0.244
"38",2021-10-28 03:00:00,"28/10/2021 03:00",60.22,22,1.12,0.39,0.11,8.86,0.96,7.53,92.39,987.86,7.81,-0.55,0,"28/10/2021 03:00",-0.27,-0.274
"39",2021-10-28 06:00:00,"28/10/2021 06:00",51.53,26,1.11,0.38,0.11,10.28,0.99,13.43,64.47,986.71,11.09,-1.15,0,"28/10/2021 06:00",-0.3,-0.293
"40",2021-10-28 09:00:00,"28/10/2021 09:00",48.23,15,1.07,0.39,0.11,12.6,1.09,19.21,49.12,986,15.79,-2.19,0,"28/10/2021 09:00",-1.24,-1.117
"41",2021-10-28 12:00:00,"28/10/2021 12:00",91.07,9,1.07,0.38,0.11,15.37,1.14,20.99,45.73,984,19.19,-3.08,0,"28/10/2021 12:00",0.13,0.232
