"","date","Flux_mBq_Autoflux","Flux_mBq_INTEmonitor"
"1",2021-10-23 00:00:00,NA,NA
"2",2021-10-23 12:00:00,4.60833333333333,NA
"3",2021-10-23 15:00:00,12.725,NA
"4",2021-10-23 16:10:00,NA,10.32
"5",2021-10-23 18:00:00,14.2805555555556,NA
"6",2021-10-23 21:00:00,11.85,NA
"7",2021-10-24 00:00:00,14.2111111111111,NA
"8",2021-10-24 00:10:00,NA,10.07
"9",2021-10-24 03:00:00,8.63611111111111,NA
"10",2021-10-24 06:00:00,16.1833333333333,NA
"11",2021-10-24 08:10:00,NA,4.76
"12",2021-10-24 09:00:00,11.4916666666667,NA
"13",2021-10-24 12:00:00,10.0472222222222,NA
"14",2021-10-24 15:00:00,14.3638888888889,NA
"15",2021-10-24 16:10:00,NA,13.85
"16",2021-10-24 18:00:00,13.3611111111111,NA
"17",2021-10-24 21:00:00,13.7527777777778,NA
"18",2021-10-25 00:00:00,16.5916666666667,NA
"19",2021-10-25 00:10:00,NA,5.33
"20",2021-10-25 03:00:00,17.375,NA
"21",2021-10-25 06:00:00,15.0277777777778,NA
"22",2021-10-25 08:10:00,NA,10.07
"23",2021-10-25 09:00:00,20.4333333333333,NA
"24",2021-10-25 12:00:00,15.3166666666667,NA
"25",2021-10-25 15:00:00,14.5694444444444,NA
"26",2021-10-25 16:10:00,NA,14.096
"27",2021-10-25 18:00:00,17.6805555555556,NA
"28",2021-10-25 21:00:00,14.2111111111111,NA
"29",2021-10-26 00:00:00,12.6138888888889,NA
"30",2021-10-26 00:10:00,NA,8.61
"31",2021-10-26 03:00:00,15.0972222222222,NA
"32",2021-10-26 06:00:00,14.7222222222222,NA
"33",2021-10-26 08:10:00,NA,18.14
"34",2021-10-26 09:00:00,15.9805555555556,NA
"35",2021-10-26 12:00:00,15.6055555555556,NA
"36",2021-10-26 15:00:00,12.4777777777778,NA
"37",2021-10-26 16:10:00,NA,6.78
"38",2021-10-26 18:00:00,23.9694444444444,NA
"39",2021-10-26 21:00:00,19.925,NA
"40",2021-10-27 00:00:00,22.5416666666667,NA
"41",2021-10-27 00:10:00,NA,12.59
"42",2021-10-27 03:00:00,16.2527777777778,NA
"43",2021-10-27 06:00:00,18.3416666666667,NA
"44",2021-10-27 08:10:00,NA,8.38
"45",2021-10-27 09:00:00,20.8,NA
"46",2021-10-27 12:00:00,19.7194444444444,NA
"47",2021-10-27 15:00:00,14.5861111111111,NA
"48",2021-10-27 16:10:00,NA,18.49
"49",2021-10-27 18:00:00,12.0361111111111,NA
"50",2021-10-27 21:00:00,21.4527777777778,NA
"51",2021-10-28 00:00:00,19.6861111111111,NA
"52",2021-10-28 00:10:00,NA,10.32
"53",2021-10-28 03:00:00,16.7277777777778,NA
"54",2021-10-28 06:00:00,14.3138888888889,NA
"55",2021-10-28 08:10:00,NA,16.6
"56",2021-10-28 09:00:00,13.3972222222222,NA
"57",2021-10-28 12:00:00,25.2972222222222,NA
"58",2021-10-28 16:10:00,NA,13.015
